0,1,2,3,4
NCT00002586,Inclusion,patients must be a current smoker or ex-smoker who have not smoked for at least 6,patients must be a <VL Label=current smoker Source=UMLS>current smoker</VL> or ex-smoker who have not smoked for <VML Logic=greater_equal Unit=>6</VML> ,"[['current smoker', '>=', '6', '']]"
NCT00002586,Inclusion,patients must have peripheral granulocyte count of > 1500 and platelet count of >,<VL Label=patients must have peripheral granulocyte count Source=ngram>patients must have peripheral granulocyte count</VL> of <VML Logic=greater Unit=and platelet>1500</VML> count of > ,"[['patients must have peripheral granulocyte count', '>', '1500', 'and platelet']]"
NCT00002586,Inclusion,patients must have adequate hepatic function with bilirubin < 1.5 mg % and sgpt < 4,patients must have adequate hepatic function with <VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower Unit=mg>1.5</VML> % and <VL Label=ALT Source=DK>sgpt</VL> <VML Logic=lower Unit=>4</VML> ,"[['Bilirubin', '<', 1.5, 'mg'], ['ALT', '<', 4.0, 'iu/l']]"
NCT00002586,Exclusion,patients must not have a current or past history of cancer within the past 5 years,<VL Label=patients must not have a current or past history of cancer Source=ngram>patients must not have a current or past history of cancer</VL> <VML Logic=lower Unit=past years>5</VML>,"[['patients must not have a current or past history of cancer', '<', '5', 'past years']]"
NCT00002586,Exclusion,i or ii lung cancer > 36 months from diagnosis or skin cancer or in situ cancers,i or <VL Label=ii lung cancer Source=ngram>ii lung cancer</VL> <VML Logic=greater Unit=months>36</VML> from diagnosis or skin cancer or in situ cancers,"[['ii lung cancer', '>', '36', 'months']]"
NCT00002586,Exclusion,diabetes mellitus or hypercholesterolemia (>239mg/dl) / hypertriglyceridemia,<VL Label=diabetes mellitus or hypercholesterolemia Source=ngram>diabetes mellitus or hypercholesterolemia</VL> ( <VML Logic=greater Unit=mg/dl>239</VML> )  / hypertriglyceridemia,"[['diabetes mellitus or hypercholesterolemia', '>', '239', 'mg/dl']]"
NCT00002586,Exclusion,atrial fibrillation or rare (<2/minute) premature ventricular contractions are not,<VL Label=atrial fibrillation or rare Source=ngram>atrial fibrillation or rare</VL> ( <VML Logic=lower Unit=/minute>2</VML> ) premature ventricular contractions are not,"[['atrial fibrillation or rare', '<', '2', '/minute']]"
NCT00002823,Inclusion,microscopically clear margins within 60 days of entry (30 days preferred),microscopically clear margins <VML Logic=lower Unit=days>60</VML> of <VL Label=Study entry Source=DK>entry</VL> ( <VML Logic=equal Unit=days>30</VML> preferred ) ,"[['Study entry', '<', 60.0, 'days'], ['Study entry', '=', 30.0, 'days']]"
NCT00002823,Inclusion,patient characteristics: age: 18 to 75 performance status: not specified hematopoietic: not,patient characteristics: <VL Label=Age Source=DK>age</VL>: <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>75</VML> <VL Label=performance status Source=UMLS>performance status</VL>: not specified hematopoietic: not,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 75.0, 'years']]"
NCT00002972,Inclusion,ecog 0-2,<VL Label=ECOG Source=DK>ecog</VL> <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>2</VML> ,"[['ECOG', '>=', 0.0, ''], ['ECOG', '<=', 2.0, '']]"
NCT00002972,Inclusion,anc at least 1500/mm^3,<VL Label=ANC Source=DK>anc</VL> <VML Logic=greater_equal Unit=/mm^3>1500</VML>,"[['ANC', '>=', 1500.0, '/mm^3']]"
NCT00002972,Inclusion,bilirubin less than 2 times upper limit of normal,<VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower Unit=times upper limit of normal>2</VML>,"[['Bilirubin', '<', 2.0, 'times upper limit of normal']]"
NCT00002972,Inclusion,"sgot, sgpt and alkaline phosphatase less than 2 times upper limit of normal","sgot, <VL Label=ALT Source=DK>sgpt</VL> and alkaline phosphatase <VML Logic=lower Unit=times upper limit of normal>2</VML>","[['ALT', '<', 2.0, 'times upper limit of normal']]"
NCT00002972,Inclusion,creatinine less than 1.5 times upper limit of normal,<VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower Unit=times upper limit of normal>1.5</VML>,"[['Creatinine', '<', 1.5, 'times upper limit of normal']]"
NCT00002972,Inclusion,negative pregnancy test 72 hours prior to start of study medication,<VL Label=pregnancy test negative Source=UMLS>negative pregnancy test</VL> <VML Logic=equal Unit=hours>72</VML> prior to start of study medication,"[['pregnancy test negative', '=', '72', 'hours']]"
NCT00003231,Inclusion,patient characteristics: age: 18 to 75 performance status: who 0-2 life expectancy: not,patient characteristics: <VL Label=Age Source=DK>age</VL>: <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>75</VML> <VL Label=performance status Source=UMLS>performance status</VL>: who <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>2</VML> life expectancy: not,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 75.0, 'years'], ['performance status', '>=', '0', ''], ['performance status', '<=', '2', '']]"
NCT00003231,Inclusion,specified hematopoietic: leucocytes greater than 4000/mm3 platelet count greater than,specified hematopoietic: leucocytes <VML Logic=greater Unit=/mm3>4000</VML> <VL Label=platelet count measurement Source=UMLS>platelet count</VL> greater than,"[['platelet count measurement', '>', '4000', '/mm3']]"
NCT00003231,Inclusion,100000/mm3 hepatic: bilirubin within normal limits ast or alt no greater than 1.5 times,<VML Logic=equal Unit=/mm3>100000</VML> hepatic: bilirubin within normal limits ast or <VL Label=ALT Source=DK>alt</VL> <VML Logic=lower_equal Unit=times>1.5</VML>,"[['ALT', '<=', 1.5, 'times']]"
NCT00003231,Inclusion,upper limit of normal (uln) alkaline phosphatase no greater than 2.5 times uln renal:,<VL Label=upper limit of normal Source=ngram>upper limit of normal</VL> ( uln ) alkaline phosphatase <VML Logic=lower_equal Unit=times uln>2.5</VML> renal:,"[['upper limit of normal', '<=', '2.5', 'times uln']]"
NCT00003231,Inclusion,creatinine clearance greater than 60 ml/min no hypercalcemia cardiovascular: no unstable,<VL Label=Creatinine clearance Source=DK>creatinine clearance</VL> <VML Logic=greater Unit=ml/min>60</VML> no hypercalcemia cardiovascular: no unstable,"[['Creatinine clearance', '>', 60.0, 'ml/min']]"
NCT00003231,Inclusion,with a forced expiratory volume greater than 1.2 l/sec neurologic: no dementia no,with a <VL Label=forced expiratory volume Source=ngram>forced expiratory volume</VL> <VML Logic=greater Unit=l>1.2</VML> / sec neurologic: no dementia no,"[['forced expiratory volume', '>', '1.2', 'l']]"
NCT00003231,Inclusion,within 30 days of study no prior treatment with other cytostatic therapy,<VML Logic=lower Unit=days>30</VML> of study no <VL Label=prior therapy Source=UMLS>prior treatment</VL> with other cytostatic therapy,"[['prior therapy', '<', '30', 'days']]"
NCT00003269,Inclusion,no cns metastases no unilateral bone marrow biopsy within 6 months of study showing at,no <VL Label=cns metastases no unilateral bone marrow biopsy Source=ngram>cns metastases no unilateral bone marrow biopsy</VL> <VML Logic=lower Unit=months>6</VML> of study showing at,"[['cns metastases no unilateral bone marrow biopsy', '<', '6', 'months']]"
NCT00003269,Inclusion,least 20% involvement by fibrosis tumors hormone receptor status: not specified,<VL Label=least Source=ngram>least</VL> <VML Logic=equal Unit=%>20</VML> involvement by fibrosis tumors hormone receptor status: not specified,"[['least', '=', '20', '%']]"
NCT00003269,Inclusion,patient characteristics: age: 18 to 70 menopausal status: not specified performance status:,patient characteristics: <VL Label=Age Source=DK>age</VL>: <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>70</VML> menopausal status: not specified <VL Label=performance status Source=UMLS>performance status</VL>:,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 70.0, 'years']]"
NCT00003269,Inclusion,ecog 0-2 life expectancy: at least 16 weeks hematopoietic: absolute neutrophil count at,<VL Label=ECOG Source=DK>ecog</VL> <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>2</VML> life expectancy: <VML Logic=greater_equal Unit=weeks>16</VML> hematopoietic: <VL Label=ANC Source=DK>absolute neutrophil count</VL> at,"[['ECOG', '>=', 0.0, ''], ['ECOG', '<=', 2.0, '']]"
NCT00003269,Inclusion,least 1500/mm3 platelet count at least 100000/mm3 hepatic: sgot or sgpt no greater than,least <VML Logic=equal Unit=/mm3>1500</VML> <VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater_equal Unit=/mm3>100000</VML> hepatic: sgot or <VL Label=ALT Source=DK>sgpt</VL> no greater than,"[['platelet count measurement', '=', '1500', '/mm3'], ['platelet count measurement', '>=', '100000', '/mm3']]"
NCT00003269,Inclusion,2.5 times upper limit of normal renal: creatinine no greater than 2 mg/dl other: hiv,<VML Logic=equal Unit=times upper limit of normal>2.5</VML> renal: <VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower_equal Unit=mg/dl>2</VML> other: hiv,"[['Creatinine', '=', 2.5, 'times upper limit of normal'], ['Creatinine', '<=', 2.0, 'mg/dl']]"
NCT00003269,Inclusion,prior concurrent therapy: biologic therapy: at least 4 weeks since prior myeloid growth,<VL Label=prior concurrent therapy Source=ngram>prior concurrent therapy</VL>: biologic therapy: <VML Logic=greater_equal Unit=weeks>4</VML> since prior myeloid growth,"[['prior concurrent therapy', '>=', '4', 'weeks']]"
NCT00003269,Inclusion,factor chemotherapy: at least 4 weeks since prior chemotherapy no more than 1 prior,factor chemotherapy: <VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior chemotherapy Source=UMLS>prior chemotherapy</VL> <VML Logic=lower_equal Unit=>1</VML> prior,"[['prior chemotherapy', '>=', '4', 'weeks'], ['prior chemotherapy', '<=', '1', '']]"
NCT00003269,Inclusion,"radiotherapy: at least 4 weeks since pelvic, para-aortic, inverted y, cranial, spinal, or","<VL Label=radiotherapy Source=ngram>radiotherapy</VL>: <VML Logic=greater_equal Unit=weeks>4</VML> since pelvic, para-aortic, inverted y, cranial, spinal, or","[['radiotherapy', '>=', '4', 'weeks']]"
NCT00003269,Inclusion,mediastinal radiation surgery: at least 2 weeks since major surgery other: no,mediastinal radiation <VL Label=Surgery Source=DK>surgery</VL>: <VML Logic=greater_equal Unit=weeks>2</VML> since major <VL Label=Surgery Source=DK>surgery</VL> other: no,"[['Surgery', '>=', 2.0, 'weeks']]"
NCT00003269,Inclusion,antihypertensive medication within 24 hours of amifostine administration,<VL Label=antihypertensive medication Source=ngram>antihypertensive medication</VL> <VML Logic=lower Unit=hours>24</VML> of amifostine administration,"[['antihypertensive medication', '<', '24', 'hours']]"
NCT00003492,Inclusion,karnofsky 60-100%,<VL Label=Karnofsky Source=DK>karnofsky</VL> <VML Logic=greater_equal Unit=%>60</VML> - <VML Logic=lower_equal Unit=%>100</VML>,"[['Karnofsky', '>=', 60.0, '%'], ['Karnofsky', '<=', 100.0, '%']]"
NCT00003492,Inclusion,wbc at least 2000/mm^3,<VL Label=WBC Source=DK>wbc</VL> <VML Logic=greater_equal Unit=/mm^3>2000</VML>,"[['WBC', '>=', 2000.0, '/mm^3']]"
NCT00003492,Inclusion,platelet count at least 50000/mm^3,<VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater_equal Unit=/mm^3>50000</VML>,"[['platelet count measurement', '>=', '50000', '/mm^3']]"
NCT00003492,Inclusion,bilirubin no greater than 2.5 mg/dl,<VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower_equal Unit=mg/dl>2.5</VML>,"[['Bilirubin', '<=', 2.5, 'mg/dl']]"
NCT00003492,Inclusion,sgot/sgpt no greater than 5 times upper limit of normal,sgot / <VL Label=ALT Source=DK>sgpt</VL> <VML Logic=lower_equal Unit=times upper limit of normal>5</VML>,"[['ALT', '<=', 5.0, 'times upper limit of normal']]"
NCT00003492,Inclusion,creatinine no greater than 2.5 mg/dl,<VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower_equal Unit=mg/dl>2.5</VML>,"[['Creatinine', '<=', 2.5, 'mg/dl']]"
NCT00003492,Inclusion,fertile patients must use effective contraception during and for 4 weeks after study,<VL Label=fertile patients must use effective contraception Source=ngram>fertile patients must use effective contraception</VL> during and for <VML Logic=equal Unit=weeks>4</VML> after study,"[['fertile patients must use effective contraception', '=', '4', 'weeks']]"
NCT00003492,Inclusion,at least 4 weeks since prior immunotherapy and recovered,<VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior immunotherapy Source=UMLS>prior immunotherapy</VL> and recovered,"[['prior immunotherapy', '>=', '4', 'weeks']]"
NCT00003492,Inclusion,at least 4 weeks since prior chemotherapy (6 weeks for nitrosoureas) and recovered,<VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior chemotherapy Source=UMLS>prior chemotherapy</VL> ( <VML Logic=equal Unit=weeks>6</VML> for nitrosoureas ) and recovered,"[['prior chemotherapy', '>=', '4', 'weeks'], ['prior chemotherapy', '=', '6', 'weeks']]"
NCT00003497,Inclusion,"tumor must be at least 2 cm for the lymph nodes located in the head, neck,","<VL Label=Tumor Source=DK>tumor</VL> must be <VML Logic=greater_equal Unit=cm>2</VML> for the lymph nodes located in the head, neck,","[['Tumor', '>=', 2.0, 'cm']]"
NCT00003497,Inclusion,"axillary, inguinal or femoral areas and at least 0.5 cm for other areas","axillary, <VL Label=inguinal or femoral areas Source=ngram>inguinal or femoral areas</VL> and <VML Logic=greater_equal Unit=cm>0.5</VML> for other areas","[['inguinal or femoral areas', '>=', '0.5', 'cm']]"
NCT00003497,Inclusion,karnofsky 60-100%,<VL Label=Karnofsky Source=DK>karnofsky</VL> <VML Logic=greater_equal Unit=%>60</VML> - <VML Logic=lower_equal Unit=%>100</VML>,"[['Karnofsky', '>=', 60.0, '%'], ['Karnofsky', '<=', 100.0, '%']]"
NCT00003497,Inclusion,wbc at least 2000/mm^3,<VL Label=WBC Source=DK>wbc</VL> <VML Logic=greater_equal Unit=/mm^3>2000</VML>,"[['WBC', '>=', 2000.0, '/mm^3']]"
NCT00003497,Inclusion,platelet count at least 50000/mm^3,<VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater_equal Unit=/mm^3>50000</VML>,"[['platelet count measurement', '>=', '50000', '/mm^3']]"
NCT00003497,Inclusion,bilirubin no greater than 2.5 mg/dl,<VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower_equal Unit=mg/dl>2.5</VML>,"[['Bilirubin', '<=', 2.5, 'mg/dl']]"
NCT00003497,Inclusion,sgot and sgpt no greater than 5 times upper limit of normal,sgot and <VL Label=ALT Source=DK>sgpt</VL> <VML Logic=lower_equal Unit=times upper limit of normal>5</VML>,"[['ALT', '<=', 5.0, 'times upper limit of normal']]"
NCT00003497,Inclusion,creatinine no greater than 2.5 mg/dl,<VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower_equal Unit=mg/dl>2.5</VML>,"[['Creatinine', '<=', 2.5, 'mg/dl']]"
NCT00003497,Inclusion,fertile patients must use effective contraception during and for 4 weeks after study,<VL Label=fertile patients must use effective contraception Source=ngram>fertile patients must use effective contraception</VL> during and for <VML Logic=equal Unit=weeks>4</VML> after study,"[['fertile patients must use effective contraception', '=', '4', 'weeks']]"
NCT00003497,Inclusion,at least 4 weeks since prior immunotherapy and recovered,<VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior immunotherapy Source=UMLS>prior immunotherapy</VL> and recovered,"[['prior immunotherapy', '>=', '4', 'weeks']]"
NCT00003497,Inclusion,at least 4 weeks since prior chemotherapy (6 weeks for nitrosoureas) and recovered,<VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior chemotherapy Source=UMLS>prior chemotherapy</VL> ( <VML Logic=equal Unit=weeks>6</VML> for nitrosoureas ) and recovered,"[['prior chemotherapy', '>=', '4', 'weeks'], ['prior chemotherapy', '=', '6', 'weeks']]"
NCT00003589,Inclusion,is progressive within 2 months prior to study entry stage iiib due to malignant pleural,is progressive <VML Logic=lower Unit=months>2</VML> prior to <VL Label=Study entry Source=DK>study entry</VL> stage iiib due to malignant pleural,"[['Study entry', '<', 2.0, 'months']]"
NCT00003589,Inclusion,effusion or supraclavicular lymph node involvement only stage iv at least 1 bidimensionally,effusion or supraclavicular <VL Label=Lymph node Source=DK>lymph node</VL> involvement only stage iv <VML Logic=greater_equal Unit=>1</VML> bidimensionally,"[['Lymph node', '>=', 1.0, '']]"
NCT00003589,Inclusion,patient characteristics: age: 18 to 75 performance status: who 0-2 life expectancy: not,patient characteristics: <VL Label=Age Source=DK>age</VL>: <VML Logic=greater_equal Unit=>18</VML> - <VML Logic=lower_equal Unit=>75</VML> <VL Label=performance status Source=UMLS>performance status</VL>: who <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>2</VML> life expectancy: not,"[['Age', '>=', 18.0, 'years'], ['Age', '<=', 75.0, 'years'], ['performance status', '>=', '0', ''], ['performance status', '<=', '2', '']]"
NCT00003589,Inclusion,specified hematopoietic: absolute neutrophil count at least 2000/mm3 platelet count at,specified hematopoietic: <VL Label=ANC Source=DK>absolute neutrophil count</VL> <VML Logic=greater_equal Unit=/mm3>2000</VML> <VL Label=platelet count measurement Source=UMLS>platelet count</VL> at,"[['ANC', '>=', 2000.0, '/mm3']]"
NCT00003589,Inclusion,least 100000/mm3 prothrombin time less than 1.5 times normal hepatic: bilirubin no greater,least <VML Logic=equal Unit=/mm3>100000</VML> prothrombin time <VML Logic=lower Unit=times>1.5</VML> normal hepatic: <VL Label=Bilirubin Source=DK>bilirubin</VL> no greater,"[['Bilirubin', '<', 1.5, 'times']]"
NCT00003589,Inclusion,than 1.25 times upper limit of normal (uln) (no greater than 2.5 times uln if due to liver,than <VML Logic=equal Unit=times upper limit of normal>1.25</VML> ( <VL Label=uln Source=ngram>uln</VL> )  ( <VML Logic=lower_equal Unit=times uln>2.5</VML> if due to liver,"[['uln', '=', '1.25', 'times upper limit of normal'], ['uln', '<=', '2.5', 'times uln']]"
NCT00003589,Inclusion,metastases) ast or alt less than 3 times uln (no greater than 5 times uln if due to liver,metastases ) ast or <VL Label=ALT Source=DK>alt</VL> <VML Logic=lower Unit=times uln>3</VML> ( <VML Logic=lower_equal Unit=times uln>5</VML> if due to liver,"[['ALT', '<', 3.0, 'times uln'], ['ALT', '<=', 5.0, 'times uln']]"
NCT00003589,Inclusion,metastases) renal: creatinine clearance at least 60 ml/min cardiovascular: no uncontrolled,metastases ) renal: <VL Label=Creatinine clearance Source=DK>creatinine clearance</VL> <VML Logic=greater_equal Unit=ml/min>60</VML> cardiovascular: no uncontrolled,"[['Creatinine clearance', '>=', 60.0, 'ml/min']]"
NCT00003589,Inclusion,myocardial infarction in the past 3 months neurological: no preexisting motor or sensory,<VL Label=Myocardial infarction Source=DK>myocardial infarction</VL> <VML Logic=lower_equal Unit=past months>3</VML> neurological: no preexisting motor or sensory,"[['Myocardial infarction', '<=', 3.0, 'past months']]"
NCT00003589,Inclusion,neurotoxicity of grade 2 or greater other: no active uncontrolled infection not a poor,<VL Label=neurotoxicity of grade Source=ngram>neurotoxicity of grade</VL> <VML Logic=greater_equal Unit=>2</VML> other: no active uncontrolled infection not a poor,"[['neurotoxicity of grade', '>=', '2', '']]"
NCT00003589,Inclusion,medical risk due to nonmalignant disease no secondary primary malignancy in the past 5,<VL Label=medical risk due to nonmalignant disease no secondary primary malignancy Source=ngram>medical risk due to nonmalignant disease no secondary primary malignancy</VL> <VML Logic=lower_equal Unit=past >5</VML> ,"[['medical risk due to nonmalignant disease no secondary primary malignancy', '<=', '5', 'past']]"
NCT00003589,Inclusion,required of all fertile patients during and for 3 months after study,<VL Label=required of all fertile patients Source=ngram>required of all fertile patients</VL> during and for <VML Logic=equal Unit=months>3</VML> after study,"[['required of all fertile patients', '=', '3', 'months']]"
NCT00003589,Inclusion,prior concurrent therapy: biologic therapy: at least 4 weeks since prior immunotherapy no,prior concurrent therapy: biologic therapy: <VML Logic=greater_equal Unit=weeks>4</VML> since <VL Label=prior immunotherapy Source=UMLS>prior immunotherapy</VL> no,"[['prior immunotherapy', '>=', '4', 'weeks']]"
NCT00003589,Inclusion,"advanced disease, including intracavitary chemotherapy at least 1 year since prior","advanced disease, <VL Label=including intracavitary chemotherapy Source=ngram>including intracavitary chemotherapy</VL> <VML Logic=greater_equal Unit=year>1</VML> since prior","[['including intracavitary chemotherapy', '>=', '1', 'year']]"
NCT00003589,Inclusion,lesions for evaluation at least 4 weeks since prior radiotherapy concurrent palliative,<VL Label=lesions for evaluation Source=ngram>lesions for evaluation</VL> <VML Logic=greater_equal Unit=weeks>4</VML> since prior radiotherapy concurrent palliative,"[['lesions for evaluation', '>=', '4', 'weeks']]"
NCT00003649,Inclusion,ecog 0-1,<VL Label=ECOG Source=DK>ecog</VL> <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>1</VML> ,"[['ECOG', '>=', 0.0, ''], ['ECOG', '<=', 1.0, '']]"
NCT00003649,Inclusion,platelet count greater than 100000/mm^3,<VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater Unit=/mm^3>100000</VML>,"[['platelet count measurement', '>', '100000', '/mm^3']]"
NCT00003649,Inclusion,bilirubin less than 1.5 mg/dl,<VL Label=Bilirubin Source=DK>bilirubin</VL> <VML Logic=lower Unit=mg/dl>1.5</VML>,"[['Bilirubin', '<', 1.5, 'mg/dl']]"
NCT00003649,Inclusion,creatinine less than 1.5 mg/dl,<VL Label=Creatinine Source=DK>creatinine</VL> <VML Logic=lower Unit=mg/dl>1.5</VML>,"[['Creatinine', '<', 1.5, 'mg/dl']]"
NCT00003649,Inclusion,room air oxygen saturation greater than 90%,room air <VL Label=Oxygen saturation Source=DK>oxygen saturation</VL> <VML Logic=greater Unit=%>90</VML>,"[['Oxygen saturation', '>', 90.0, '%']]"
NCT00003649,Inclusion,fev1 greater than 1.0 l pco2 less than 50,<VL Label=Fev1 Source=DK>fev1</VL> <VML Logic=greater Unit=l>1.0</VML> <VL Label=partial pressure co2 result Source=UMLS>pco2</VL> <VML Logic=lower Unit=>50</VML> ,"[['partial pressure co2 result', '<', '50', '']]"
NCT00003657,Inclusion,performance status: ps 0-1,<VL Label=performance status Source=UMLS>performance status</VL>: ps <VML Logic=greater_equal Unit=>0</VML> - <VML Logic=lower_equal Unit=>1</VML> ,"[['performance status', '>=', '0', ''], ['performance status', '<=', '1', '']]"
NCT00003657,Inclusion,> 1 week since surgery or rt, <VML Logic=greater Unit=week>1</VML> since <VL Label=Surgery Source=DK>surgery</VL> or rt,"[['Surgery', '>', 1.0, 'week']]"
NCT00003657,Inclusion,> 3 weeks since prior ct, <VML Logic=greater Unit=weeks>3</VML> <VL Label=since prior ct Source=ngram>since prior ct</VL>,"[['since prior ct', '>', '3', 'weeks']]"
NCT00003657,Inclusion,white cell count life >= 3000/ul,<VL Label=white cell count life Source=ngram>white cell count life</VL> <VML Logic=greater_equal Unit=/ul>3000</VML>,"[['white cell count life', '>=', '3000', '/ul']]"
NCT00003657,Inclusion,platelet count >= 100000/ul,<VL Label=platelet count measurement Source=UMLS>platelet count</VL> <VML Logic=greater_equal Unit=/ul>100000</VML>,"[['platelet count measurement', '>=', '100000', '/ul']]"
